song_name,artist_name,decade,lyrics
כמו בסרט,אושיק לוי,1980s,"עננים בגובה רב ובינוני
מכסים את השמיים
גשם מקומי ממשיך לרדת בינתיים
הכביש מתפתל בתוך הוואדי
עצי אקליפטוס
מכונית לבנה עולה בכביש הרטוב
לרגע נגלית - לרגע נסתרית
גובר הגשם - זהירות ראות כאן מוגבלת
בתוך המכונית - אישה וגבר
היא מדברת.
זוכרת היינו שם יחד כמו בסרט.
ים סוער על רקע אופק צבעוני
הצוקים נוגעים במים
ציפור גדולה עברה לפתע
צל כנפיים
הכביש מתרחק משפת הסלע
יורד אל הדיונות
מכונית לבנה סוטה אל דרך עפר
אבק מתרומם לרגע - נסתרת
קרני השמש נשברות ישר בעיניים
בתוך המכונית אישה וגבר
היא מתעוררת.
זוכרת היינו שם יחד - כמו בסרט."
רדיו חזק,תיסלם,1980s,"היא שנולדה בכפר מנותק
ולא שמעה על חום או מחנק,
שם שמן טוב לא טוב משם,
כל כך שקט בא להירדם.
חייכי אלי בין השיחים,
חייכי אלי כשהם נחים
והם לא אוהבים.
היא אוהבת רק רדיו חזק
אוהבת רדיו חזק
אוהבת
שמנגן.
היא רק רואה אותנו שרים
היא לא שומעת מה מדברים.
כתבי אלי מה רצונך,
כתבי אלי דרך אזנך,
מעור התוף לעור הסנר
בתוך ראשך שקט שורר
והם לא אוהבים...
כן, היא הוכתה באור סנוורים
ולא תשמע ניסוי צופרים
היא לא תמנע אש בשדות
כי יש לה אוזניים כבדות
קבלי אותי בין המילים
קבלי אותי בין השבילים
והם לא אוהבים..."
שלך עד אתמול,גלי עטרי,1980s,"אל תהסס אל תתרפס
זה ברור כבר
אל תחכה ואל תבכה
זה סגור כבר
אל תתרגש אל תבקש
זה גמור כבר
אני יוצאת מכאן שלום לך
רק אל תפציר בי לחכות לך
ואל תכריח להכות בך
אני רוצה רק לא לראות אותך
שוב אל עצמי האחרת
שוב אל העיר הסוערת
רוח פרועה מעוררת
כל מה שנרדם
חד ומהיר זהו השיר
שעובר בי
בלי להסביר קר ובהיר
הוא דוהר בי
לא בזהירות בלי סבלנות
הוא אומר כי
אני כבר רחוקה מאוד ממך
שוכחת את כל השעות איתך
ולא רואה את הדמעות שלך
שלום ולא להתראות לך
שוב אל עצמי האחרת...
אני כבר רחוקה מאוד ממך
שוכחת את כל השעות איתך
ולא רואה את הדמעות שלך
שלום ולא להתראות לך
שלום
שוב אל עצמי..."
הרכבת כבר עברה בתחנה,אסתר שמיר,1980s,"לעיתים קרובות מדי הדרך מתעקשת
הרגע כבר עבר ואני עוד ממתינה
כולם כולם הלכו ולפני שאני תופשת
הרכבת כבר עברה בתחנה
לעיתים קרובות מדי עוד הזדמנות חומקת
הזמן חולף מהר שנה אחר שנה
והמזל נופל בחיק מי שצוחקת
הרכבת כבר עברה בתחנה
אז אל תשאירו אותי מאחור
אולי זו רק פאניקה קטנה (וזה עובר)
אם לא תשאירו אותי מאחור
כשהרכבת כבר עברה בתחנה
לעיתים קרובות מדי אני הולכת ומועדת
לעבר הקטר שצופר במסילה
ועד שאני רואה ועד שאני מודדת
הרכבת כבר עברה בתחנה
אז אל תשאירו...
לעיתים קרובות מדי, אחת ליום בערך
אני קונה כרטיס עוד פעם אחרונה
כי איש לא יעבור יותר, כאן זה סוף הדרך
הרכבת כבר עברה בתחנה
אז אל תשאירו..."
בלדה לסוכן כפול,משינה,1980s,"הוא הגיע אל הארץ בדרכים עקלקלות
הוא היה סוכן חשאי לא רצה להתגלות
הוא נהג להתאכסן במלונות מפוארים
הוא תמיד היה קיים על חשבונם של אחרים
הוא נלחם במוסלמים והסתתר באיסטנבול
הוא התעה את הרוסים הוא היה סוכן כפול
בספינה של עבדים אל ארץ כנען הוא חתר
התורכים שלטו בארץ למצרים הוא חזר
הוא רכב לפלשתינה
על גמל דו דבשתי
הוא הגיע לראש פינה
במסווה של שייח תורכי
תוך שלושה ימים וחצי הוא נפגש עם הסולטן
הוא לקח אותו בטכסי ורצח אותו בגן
הוא הצית בתים בלילה התורכים סבלו ביום
הם קראו לו אפס אפס יוסף יוסף האיום
הוא רכב לפלשתינה
על גמל דו דבשתי
הוא הגיע לראש פינה
במסווה של שייח תורכי
הוא רכב לפלשתינה
על חמור תלת מימדי
הוא הגיע לראש פינה
במסווה של גזר גמדי
ואשתו אמרה לו יוסף
תשנה את הגישה
הוא אמר לה תהיי בשקט
והחליף את האישה"
יש ונדמה,ירדנה ארזי,1980s,"יש ונדמה הזיכרונות אך הבל
כי ערפל קורן עוטף בלאט
מחוז העבר האושר והסבל
כאב הפצעים ונחת המקלט.
הלא חלום היוותה פינה נסתרת
דבקות ליבי בלב קרוב וער
ויום בהיר וקר ואח בוערת
ורחשי הזך והנוהר.
יהי כל עברי חלום נראה אי פעם
אך במדבר חיי הוא נחל לא אכזב
אכרע אליו דומם בלי מרד ובלי זעם
לרוות בו צימאוני בלהט השרב."
מחפש את הכיוון,מאיר בנאי,1980s,"את פוסעת לצדי כל כך שקטה
האוויר זורם לאט
אורות העיר כעת פותחים ת'חגיגה
אני מרגיש את הפרידה
רץ לבד לתוך הלילה השחור
הגלים צבועים אדום
בניינים גבוהים צורחים אלי
אתה לבד אתה אחד
מחפש את הכיוון
מחפש את הסימון
מחפש את הכיוון
מחפש את הסימון
המסע שלי ארך יותר מדי
אני שוב ליד ביתך
בואי נתחיל את המשחק מהתחלה
וכך תמיד זה יימשך
אל תבכי
אל תבכי
אני אחזור שוב
אני יוצא למצוא אותך"
אני חיה לי מיום ליום,ריטה,1980s,"אני חיה לי מיום ליום
מפזרת את ימי ברוח
אנשים מתחתנים סביבי
גם אני רוצה קצת לנוח
אומרים שהאדמה שלנו
מסתובבת סביב צירה
איפה הציר שלי?
להסתובב זה דבר נורא
לא כל כך יפה
ולא בת שש עשרה
אבל יודעת משהו
על העולם הזה
ואם הוא רציני
ואם הוא רק רוצה
תמורת מילה אחת
אתן כל כך הרבה
פה ושם הופיע גבר
כמו בתחנת רכבת נידחת
מי שרצה בי בערב
חזר בו עם עלות השחר
אומרים שהשמש שלנו
בוערת כבר מיליון שנה
כמה יכול לבעור אדם
ובסך הכל בשביל מה
לא כל כך יפה
ולא בת שש עשרה
אבל יודעת משהו
על העולם הזה
ואם הוא רציני
ואם הוא רק רוצה
תמורת מילה אחת
אתן כל כך הרבה
ואם יושיט לי יד
ואם יגיד רוצה
תמורת מעט מאוד
אתן כל כך הרבה"
השנה אינשאללה,עפרה חזה,1980s,"אם שנה תבוא עלינו, אם שנה
אם שנה של אור עלינו אינשאללה
מתנה היא לכולנו מתנה
ימים של אהבה ביחד אינשאללה
עוד יבוא היום שלום וסאלם יכונו
וירדן יזרום כנהר שלום עלינו
עוד יבוא היום שלום וסאלם יכונו
עוד יבוא היום
כאן הבית עץ הזית וברכה
שתי ידיים אור עיניים של שמחה
לנו יש בראש חלום אחד חלום
לחיות היום, לחיות מחר את השלום
אינשאללה עוד יבוא היום...
השנה אינשאללה תבוא עלינו
השנה אינשאללה שלום"
הסבון בכה מאוד,צביקה פיק,1980s,"הסבון בכה מאוד
דני לא רוצה בי עוד
ומברשת השיניים
מתייפחת שבעתיים
ואומרת למשחה
אל תבכי אך היא בוכה
והברז כעסן
הוא כועס מאוד על דן
והמים, מים, מים
צר להם על האוזניים
הם שרים, שרים, שרים, שרים
שורום זורום זורום רים
שורום זורום זורום רים
שורום זורום זורום רים
הם שרים, הם שרים, הם שרים
דני, דני מלוכלך
מלוכלך כל כך כל כך
אם יבוא היום לגן
מי יתן שלום לדן
כל אחד ישאל מי זה
מלוכלך כזה כזה
והדסה הקטנה
תסתתר אז בפינה
לא תכיר אותו בכלל
כלל וכלל
והמים, מים, מים..."
