decade,feature,count,ratio
1980s,Number=Sing,14847,0.1928332077824246
1980s,Gender=Masc,10582,0.13743928098293373
1980s,Gender=Fem,4997,0.06490116112943865
1980s,Voice=Act,4371,0.05677065745382757
1980s,HebBinyan=PAAL,3276,0.04254877003402863
1980s,PronType=Prs,3105,0.040327817752032626
1980s,Number=Plur,3089,0.04012000935137803
1980s,Person=3,2948,0.038288697820609396
1980s,PronType=Art,2629,0.034145517832558384
1980s,VerbForm=Part,2452,0.03184663740031691
1980s,"Gender=Fem,Masc",2405,0.03123620022339403
1980s,"Person=1,2,3",2391,0.03105436787282126
1980s,Person=1,2090,0.027144972335506664
1980s,Person=2,1172,0.01522196534794919
1980s,Tense=Past,1153,0.014975192872171857
1980s,Definite=Cons,968,0.012572408239603086
1980s,Tense=Fut,868,0.011273605735511859
1980s,Polarity=Neg,806,0.010468348182975297
1980s,Case=Gen,791,0.010273527807361613
1980s,PronType=Neg,782,0.010156635581993402
1980s,Definite=Def,682,0.008857833077902175
1980s,HebBinyan=PIEL,582,0.007559030573810946
1980s,VerbForm=Inf,567,0.007364210198197262
1980s,HebBinyan=HIFIL,507,0.0065849286957425255
1980s,PronType=Dem,400,0.005195210016364912
1980s,PronType=Int,393,0.005104293841078526
1980s,HebBinyan=NIFAL,356,0.004623736914564771
1980s,Voice=Mid,356,0.004623736914564771
1980s,Case=Acc,337,0.004376964438787438
1980s,HebBinyan=HITPAEL,282,0.0036626230615372625
1980s,VerbType=Cop,237,0.00307816193469621
1980s,Polarity=Pos,230,0.002987245759409824
1980s,HebRoot=בוא,198,0.0025716289581006312
1980s,Mood=Imp,187,0.002428760682650596
1980s,PronType=Ind,148,0.0019222277060550173
1980s,HebExistential=True,145,0.0018832636309322804
1980s,HebRoot=אמר,134,0.0017403953554822455
1980s,HebRoot=הלך,126,0.0016364911551549472
1980s,VerbType=Mod,120,0.0015585630049094734
1980s,HebRoot=רקד,119,0.0015455749798685612
1980s,HebRoot=רצי,118,0.0015325869548276489
1980s,HebRoot=ראי,110,0.0014286827545003508
1980s,PronType=Tot,108,0.0014027067044185262
1980s,"Gender=Fem, Masc",108,0.0014027067044185262
1980s,Case=Tem,92,0.0011948983037639296
1980s,HebRoot=נתן,87,0.0011299581785593682
1980s,HebRoot=ידע,83,0.0010780060783957192
1980s,HebRoot=עבר,81,0.0010520300283138947
1980s,Voice=Pass,78,0.0010130659531911578
1980s,HebRoot=חזר,72,0.0009351378029456841
1980s,Number=Dual,70,0.0009091617528638595
1980s,HebRoot=אהב,69,0.0008961737278229472
1980s,HebRoot=עשׂי,65,0.0008442216276592982
1980s,HebRoot=היי,63,0.0008182455775774736
1980s,HebRoot=לקח,59,0.0007662934774138244
1980s,HebRoot=שׁיר,58,0.0007533054523729121
1980s,HebRoot=שׁאר,55,0.0007143413772501754
1980s,HebRoot=מצא,53,0.0006883653271683508
1980s,HebRoot=נגע,50,0.000649401252045614
1980s,HebRoot=שׁכח,49,0.0006364132270047017
1980s,HebRoot=עלי,49,0.0006364132270047017
1980s,HebRoot=יצא,48,0.0006234252019637894
1980s,HebRoot=שׁמע,47,0.0006104371769228771
1980s,HebRoot=ישׁב,43,0.0005584850767592279
1980s,HebRoot=קרא,42,0.0005454970517183158
1980s,HebRoot=חשׁב,41,0.0005325090266774035
1980s,HebRoot=בכי,40,0.0005195210016364912
1980s,HebBinyan=PUAL,37,0.0004805569265137543
1980s,HebRoot=חפשׂ,36,0.00046756890147284203
1980s,HebRoot=נגד,36,0.00046756890147284203
1980s,HebRoot=זכר,36,0.00046756890147284203
1980s,Prefix=Yes,35,0.00045458087643192974
1980s,PronType=Rel,34,0.00044159285139101746
1980s,PronType=Emp,33,0.0004286048263501052
1980s,"Number=Plur,Sing",32,0.00041561680130919294
1980s,HebRoot=עוף,31,0.00040262877626828065
1980s,HebRoot=ירד,30,0.00038964075122736836
1980s,HebRoot=עמד,30,0.00038964075122736836
1980s,HebRoot=שׁאל,29,0.00037665272618645607
1980s,HebBinyan=HUFAL,29,0.00037665272618645607
