decade,rank,lemma,count
1980s,1,כול,371
1980s,2,אל,300
1980s,3,בא,190
1980s,4,היי,188
1980s,5,אתה,182
1980s,6,יום,172
1980s,7,אני_,156
1980s,8,לילה,155
1980s,9,כבר,139
1980s,10,אמר,134
1980s,11,הלך,122
1980s,12,רקד,118
1980s,13,רצה,118
1980s,14,אחד,108
1980s,15,אנחנו,107
1980s,16,שיר,105
1980s,17,אולי,102
1980s,18,בית,96
1980s,19,לב,95
1980s,20,דרך,92
1980s,21,כש,92
1980s,22,יד,88
1980s,23,ראה,87
1980s,24,נתן,87
1980s,25,זמן,87
1980s,26,עבר,85
1980s,27,שוב,82
1980s,28,טוב,81
1980s,29,ידע,80
1980s,30,עין,77
1980s,31,אתה_,75
1980s,32,שר,74
1980s,33,אור,73
1980s,34,שנה,70
1980s,35,עד,69
1980s,36,חזר,68
1980s,37,אחר,66
1980s,38,לבד,65
1980s,39,עשה,64
1980s,40,אהב,62
1980s,41,איש,62
1980s,42,היה,61
1980s,43,לקח,60
1980s,44,בוקר,60
1980s,45,אך,59
1980s,46,חלום,59
1980s,47,עכשיו,58
1980s,48,חם,58
1980s,49,אהבה,57
1980s,50,תמיד,53
2000s,1,כול,434
2000s,2,אתה,273
2000s,3,בא,254
2000s,4,אל,240
2000s,5,היי,208
2000s,6,אני_,204
2000s,7,יום,186
2000s,8,ראה,172
2000s,9,כש,146
2000s,10,עכשיו,138
2000s,11,כבר,136
2000s,12,ידע,135
2000s,13,רצה,133
2000s,14,אתה_,133
2000s,15,הלך,127
2000s,16,אחד,120
2000s,17,אהבה,117
2000s,18,אמר,116
2000s,19,אולי,107
2000s,20,טוב,107
2000s,21,לב,105
2000s,22,איך,103
2000s,23,נתן,100
2000s,24,חי,100
2000s,25,אנחנו,95
2000s,26,עולם,92
2000s,27,עשה,85
2000s,28,זמן,82
2000s,29,עבר,80
2000s,30,נשאר,80
2000s,31,יכל,79
2000s,32,לילה,79
2000s,33,אהב,78
2000s,34,אחר,78
2000s,35,עד,77
2000s,36,יד,77
2000s,37,עין,74
2000s,38,חזר,74
2000s,39,דיבר,72
2000s,40,היה,69
2000s,41,בין,65
2000s,42,תמיד,64
2000s,43,דבר,63
2000s,44,שנה,62
2000s,45,אור,61
2000s,46,הגיד,60
2000s,47,דרך,58
2000s,48,חשב,57
2000s,49,קרה,57
2000s,50,בית,57
2020s,1,כול,795
2020s,2,אתה,444
2020s,3,אני_,430
2020s,4,בא,391
2020s,5,היי,379
2020s,6,אל,342
2020s,7,יום,244
2020s,8,אתה_,229
2020s,9,טוב,217
2020s,10,עשה,199
2020s,11,הגיד,194
2020s,12,ראה,192
2020s,13,רצה,189
2020s,14,איך,188
2020s,15,כבר,187
2020s,16,ידע,176
2020s,17,אנחנו,171
2020s,18,לב,165
2020s,19,הלך,155
2020s,20,אחד,150
2020s,21,לבא,148
2020s,22,אמר,140
2020s,23,כש,128
2020s,24,נתן,125
2020s,25,סוף,121
2020s,26,אהב,115
2020s,27,עולם,115
2020s,28,ככה,114
2020s,29,עד,113
2020s,30,היה,108
2020s,31,עכשיו,107
2020s,32,תמיד,95
2020s,33,לילה,95
2020s,34,כמה,94
2020s,35,למה,93
2020s,36,חזר,93
2020s,37,פעם,93
2020s,38,יד,92
2020s,39,קצת,91
2020s,40,צריך,91
2020s,41,דיבר,90
2020s,42,שוב,90
2020s,43,זמן,89
2020s,44,בית,88
2020s,45,חי,87
2020s,46,שיר,85
2020s,47,לקח,84
2020s,48,עבר,83
2020s,49,עצם,82
2020s,50,שנה,79
