topic,song_name,artist_name,decade,topic_score
0,עוד אחד ששר לך,עילי בוטנר וגיא מזיג,2020s,0.2012454492944886
0,רוצה שלום,רביב כנר,2020s,0.20015021593344012
0,רק טוב,עילי בוטנר וילדי החוץ,2020s,0.16394821075916602
0,קרן שמש,בניה ברבי,2020s,0.15956573355689713
0,אין מאושר ממני,אליעד,2020s,0.15784487578269743
0,מקבל על עצמי,אושר כהן,2020s,0.15769242834256314
0,למה זה נגמר,דודו אהרון ועדן מאירי,2020s,0.15727715751776203
0,אקורדים בלילות,אושר כהן,2020s,0.15220030863819678
0,מסלוניקי עד ליפו,משה פרץ,2020s,0.14614669833157523
0,אהובי לב אדום,אושר כהן,2020s,0.14506110844725145
1,תשבור לי ת'לב,אודיה,2020s,0.35677995849428423
1,שיר הסלנג,"להקת הנח""ל",1980s,0.32990516800920194
1,אינטלקטוערס,אודיה,2020s,0.3043568916089556
1,עכשיו אתה חוזר בחזרה,מירי מסיקה,2000s,0.28743856663941814
1,אם אתה גבר,נועה קירל,2020s,0.28729635537186476
1,לירז,סטטיק,2020s,0.2796772841885598
1,אישה חופשייה,יהורם גאון,1980s,0.2783161504288466
1,יום חדש נפלא,אריק ברמן,2000s,0.27658454457060655
1,שיר של יום חולין,מאור כהן,2000s,0.27474471373469184
1,עמנואלה,עדן בן זקן,2020s,0.24529807283193444
2,האדמה בוכה,מוקי ויובל בנאי,2000s,0.22125041848643592
2,לראות את הכאב,שרית חדד,2000s,0.19594190382914242
2,הכל עומד במקום,גלי עטרי,1980s,0.18702570802463594
2,על פני האדמה,שלום חנוך,1980s,0.16913432937529987
2,האשם תמיד,יאיר ניצני,1980s,0.16835221696520034
2,מדברים על שלום,מוקי,2000s,0.16611773956461856
2,זה הכל או כלום,דויד ברוזה,2000s,0.15773184981077337
2,רוצה להיות נגן,מני בגר,1980s,0.1567652603048109
2,חי מיום ליום,סאבלימינל והצל ומומי לוי,2000s,0.1559226943917933
2,אדם נשאר ילד,אבי טולדנו,1980s,0.15264542203164205
3,אריק,שלומי שבן,2000s,0.4473363605837315
3,אני רק עובר,אבי טולדנו,1980s,0.3443104595021412
3,שלך עד אתמול,גלי עטרי,1980s,0.3243109287001813
3,אחרי החגים,עפרה חזה ואבי טולדנו,1980s,0.3219254700456437
3,בפרק הבא,בר צברי,2020s,0.3128873127688759
3,חתול מפלצת,רמי פורטיס,1980s,0.31019976177353753
3,קוקוריקו (אל תדליקו אותי),רביד פלוטניק,2020s,0.2855462129133771
3,אל תשכחי אותנו,מיסטר הרי,1980s,0.2787629403359709
3,הכוס הכחולה,עברי לידר,2000s,0.2662687180238187
3,ארץ ערבה,דורין הירבי,2020s,0.24856101356206323
4,מה אתה רוצה?,אלה לי להב,2020s,0.3827342355721322
4,רונדלים,סטטיק,2020s,0.32370370444742086
4,רונדלים,"""סטטיק""",2020s,0.32370370444742086
4,זה רק אתה,גלי עטרי,2000s,0.3173925213172594
4,שנה שנייה,תיסלם,1980s,0.2638485423484453
4,אמבולנס,נועה קירל ומרגי,2020s,0.21230234049623506
4,זוט עני,אלה לי להב,2020s,0.20939480582975203
4,מסיבה רעה,"ג'ירפות, נטע ברזילי ודגו",2020s,0.2076757790442944
4,לא רוצה לזמביה,עופר אקרלינג,1980s,0.20128631514218104
4,האמיני לי,יגאל בשן,1980s,0.19784412607986224
5,אפס מאמץ,סטטיק ובן-אל תבורי ונטע ברזילי,2020s,0.7207360701907229
5,אפס מאמץ,סטטיק ובן אל תבורי עם נטע ברזילי,2020s,0.7207360701907229
5,אפס מאמץ,סטטיק ובן-אל תבורי עם נטע ברזילי,2020s,0.7207360701907229
5,אה-או,גזוז,1980s,0.1476055689711594
5,רגאיי הבטלן,קובי רכט,1980s,0.12324625221140934
5,יהיה יהיה,מרגי,2020s,0.07159028063262507
5,שועל במנוסה,רמי פורטיס,1980s,0.06485984425107351
6,הנה אני בא,הדג נחש,2000s,0.5591263110931022
6,ריקוד לאור ירח,טנגו,1980s,0.542809533796535
6,נייר עיתון,סאבלימינל,2020s,0.46026491905292755
6,בא מכאב,דניאל סלומון,2000s,0.42290683745983587
6,טרילילי טרללה,נועה קירל עם אילן פלד,2020s,0.35503155866043035
6,בלילות של ירח מלא,ערן צור עם רונה קינן ואפרת בן צור,2000s,0.3083380999555142
6,ממריאים,מוש בן ארי,2000s,0.2657827777129611
6,לא בא לי לשמוע,הדורבנים,2000s,0.2533171291672226
6,איזה יום טוב,הפרויקט של עידן רייכל בהשתתפות נסרין קדרי,2020s,0.2321993980215485
6,קחי אותי הביתה,בנזין,1980s,0.20614629739588566
7,השמלה החדשה שלי,רן דנקר,2020s,0.48653186762337425
7,הבלדה למחכות,נרקיס,2020s,0.3502008426313792
7,פלואו של טמבל 2,ליעד מאיר ורון חיון,2020s,0.31949086415845507
7,יחפים,יסמין מועלם,2020s,0.2955862858109331
7,שובר ת'ראש,פבלו רוזנברג,2000s,0.28150282849538477
7,מלודי,איזולירבנד,1980s,0.24768682954847152
7,המתוקות האחרונות,אריק ברמן,2000s,0.24041739222127137
7,אם הייתי צריכה,אודיה,2020s,0.22229484777812647
7,פקח אני פורק סחורה,אסי כהן וגורי אלפי,2000s,0.2217260803319662
7,נשמה שלי,עידן רפאל חביב,2020s,0.2104108706950157
