song_name,artist_name,decade,lyrics
אני שומע שוב (שיר חייל),שלמה ארצי,1980s,"אני שומע שוב ברגעי השלווה
את ג'ניס ג'ופלין שרה בלוז ישן
על בובי מק-ג'יי. רביעייה קאמרית
מנגנת מוסיקה צלולה מעבירה בי
שוב אותן צמרמורות עונג ידועות.
אבל אני חייל - ואל תבכי לי ילדה.
אני מוסיף ללכת מוסיף בשביל הצר,
מושך במעלה הדורות רב החתחתים.
מעלי ציפורים, דואות חופשיות
והרוח במרחבים - כמו קוראת תגר,
אבל אני חייל - ואל תבכי לי ילדה.
אהבתי - רגעי זכרונות וגעגועים טרופים.
על השולחן סיפורים של צ'כוב, כאבן שאין
לה הופכין, כי אני הוא אדם מחופש
לחייל, כפות בכתונת משוגעים -
אז בכי לי ילדה על רגעי הבדידות,
על הציפיות ועל השנים, ובכי על
שני לבבות אוהבים ורחוקים."
דרך הכורכר,אריק סיני,1980s,"אני חוזר בדרך הכורכר
בפיתולי אותו מסלול מוכר
ושוב נדמה שזה אותו צרצר
שר מתחת שיח הצבר.
שני הברושים בשער הקדמי
שומרים על סף הבית של אימי
ועל עמוד בטון טבוע שמי
שרשמתי פעם בעצמי.
וריח מלונים עם דבק אורנים
נופל כבד כמו השנים,
אבל תמיד מסביר פנים.
אני הולך בדרך הכורכר
ומחפש את כל ילדי הכפר
שורק פזמון מתוך ""שיר הקטר""
אך לאיש זה לא מזכיר דבר.
באופניים שחצו שדות
גלגל חסר כנפיים חלודות
ועל העץ תלויות שתי נדנדות
רק ברוח הן מתנדנדות.
וריח מלונים עם דבק אורנים...
אני יוצא בדרך הכורכר
אני חושב על אפר ועפר
על מה עכשיו ומה שבעבר
ועל זה שכבר מחשיך וקר.
וריח מלונים עם דבק אורנים..."
אני הולך לבית שאן,גרי אקשטיין,1980s,"אין חשמל ואין אפילו מים
ואין גם אף אחד שמתקן לי ת'גרביים, אבל
יש מקום אחר והוא הרבה יותר יפה
האויר נקי וזה ממש שווה זהב, אהה
אין פה להשיג שום סיגריה במכולת
ואין כאן אף אחת שתסבן לי את הגב, אגב
יש פינה למטה בכיכר
ואלף בחורות כבר מחכות לי שם עכשיו, אהה
אני הולך, אני הולך
אני הולך לבית שאן
אני הולך, אני הולך
לבית שאן
עוד רפורט חטפתי בקולנוע
וגם קיבלתי הזמנה לבית משפט בשבת
לא נשאר לי כח, יצא לי כל המיץ
המצב קשה ויש לי חשק להרביץ, אהה
אני הולך, אני הולך..."
צוותא,שלמה ארצי,1980s,"זה כבר כמה ימים
שב""צוותא"" מופיע זמר מחופש
עם שירים מאתמול,
שאיש לא יבין,
שאיש לא יתפוס.
ורק את באולם, לבדך,
מקשיבה ובוכה בשבילו.
על מה את בוכה?
שירים זה גיטרות וחלומות.
כן אחרי השירים
אקח אותך ואת צעירה,
ורוח של עיר תנשב בודדים,
כן, הרוח נושבת קרירה.
וסדרן מנומנם מקיבוץ בגליל,
שעזב את הכל, ישאל: ""מה השעה?""
ואת תעני,
שבכית, ואין לך שעות.
כך עובר לו יום ועוד יום, וכאילו השמש
היא עוברת אותנו נמוך, כי אנחנו כמו כל אחד.
אם נהיה פה מחר צלצלי אלי כבר בתשע,
כי אחר כך אצא מי יודע מתי אחזור.
זה כבר כמה ימים
שב""צוותא"" מלא והרבה אנשים,
מחפשים במי מדובר,
ועל מי נכתב השיר.
ורק את באולם לבדך,
מקשיבה, או אולי נרדמת,
לא רואה את עינייך,
כי עסוק באורות,כן
ועסוק בלהיות זמר.
כן, אחרי השירים אקח אותך ואת צעירה.
בסרטים גיבורים,
עם פרופיל מוצלח, כן
גם שלך נראה לא רע.
ובמאי מעוניין מדיזנגוף
יאמר שיש לך עתיד,
תגידי שכן,
את יודעת זה בלוף,
החיים לא דומים לסרטים
בחיים עובר לו יום...
זה כבר כמה ימים
שב""צוותא"" תלויה מודעה קרועה,
על חשבון המזמין,
תהיה, או אולי לא
תהיה הופעה.
ורק את באולם
תהיי שם כדי לבכות הצגת בכורה,
ואולי אז אקום, ואגש, ונרקוד
או שהסוף לא יהיה כל כך רע.
כי עובר לו יום..."
אל תשכחי אותנו,מיסטר הרי,1980s,"אל תבקשי את כל אשר נתת
לא אוכל להחזיר לך
אל תשכחי את כל מה שהיה
אם הגענו כבר הנה
לו לפחות יכולת עכשיו לבכות
היה לי קל יותר
כדאי אולי עוד פעם לנסות
אין טעם למהר
החיים קצרים או ארוכים
אין אהבה צודקת
ואם תרצי להיות עם אחרים
תמיד תוכלי ללכת
אם תאמיני במה שאעשה
נוכל להסתדר
ואם תרצי הכל ישתנה
יהיה יפה יותר
אל תשכחי אותנו
אל תותרי עלינו
אל תשכחי
אל תותרי
אל תעזבי אותי הלילה כך
זה לא מתאים לך
תני לבוקר למצוא אותנו כאן
לא נוכל תמיד לברוח
אם תאמיני במה שאעשה
נוכל להסתדר
ואם תרצי הכל ישתנה
יהיה יפה יותר
אל תחשבי שאני בך מאוהב
סתם כאב עובר לי
אל תספרי עלי לאף אחד
זה עוד יחלוף לי
לו לפחות יכולת עכשיו לבכות
היה לי קל יותר
כדאי אולי עוד פעם לנסות
אין טעם למהר
אל תשכחי אותנו..."
שיר אהבה לחייל,עפרה חזה,1980s,"אתה מטייל לבדך שם בעיר
מטייל לבדך ואותי לא מכיר
עייף וביישן כן חייל כה עקשן
נו, אז מה אם אמרתי מילה לאחר
נו, אז מה אם אמרתי, אולי תוותר
אולי, אולי תוותר?!
אתה מתעקש לעזוב את הכל
אתה מתעקש לחזור אל החול
לחזור אל כולם, איזה גבר עקשן
אולי תנשק ותראה כמה טוב
אולי תנשק ואל נא תעזוב
אל תעזוב...
רק תן לי יד בוא לנוח
תן לי יד בוא לשכוח
תן לי תן לי יד אהוב ובלי לברוח
רק תן לי יד בלי לדעת
מה יהיה מחר אם פעם
עוד תשוב אלי...  רק שוב אלי...
ואתה עוד מביט בי מביט ושותק
אולי כבר תשאל מי משנינו צודק
אתה או אני, או צוחק אלמוני
עצור כי הדרך ממך לא תברח
טוב אז לך בשלום ואותי אל תשכח
אותי, אותי אל תשכח...
אתה מתעקש לעזוב..."
אלה סינדרלה,צביקה פיק,1980s,"כוכבים בשמיים סובבים
עד שלפעמים גם הם כבים
כמו אותן המשאלות
שבחצות הם נופלות
כוכבים קורצים לאלה, ושוב נדמה לה
שיש נסיך שמחכה לה, כל הלילה
כבר מאוחר בנשף ולבנה של כסף
מאירה את תקוותה, סינדרלה
אלה סינדרלה, אלה -
מה נדמה לה, אלה סינדרלה
אלה סינדרלה, אלה-
שנדמה לה, אלה סינדרלה
ושעון שמתקתק לו, תיק תק תק
היא לא שומעת, תיק תק תק
היא משגעת
ושעון שמתקתק לו, תיק תק תק
מתנועעת, תיק תק תק
היא נפלאה
את יפה הלילה, אלה, כמו סינדרלה
את תלכי הביתה, אלה, בואי איתי
ושוב דולקות עיניה ומבריקות שפתיה
שוב הגיע הנסיך, סינדרלה
אלה סינדרלה..."
אה-או,גזוז,1980s,"חשבנו מה כדאי לשיר
ביחד עם קהל.
משהו לא מסובך
אולי אפילו קל.
חרשנו אלף מנגינות
ואלף הימנונים
ובסוף מצאנו מנגינה
אך אין לנו מילים.
אה או אה או...
חשבנו שיר מולדת
או פזמון לשנות שלושים.
או איזה שיר על השלום
מוקדש לחיילים.
אך מכל הסימפוזיונים
לא יצא לנו דבר,
כי בסוף תמיד חזרנו
לאותו פזמון מוזר.
אה או אה או...
הגיע זמן לסגור ענין
ואין לנו ברירה.
נתקענו עם השיר
כמו חתן עם הכלה.
עשינו שמיניות
והתפתלנו מכאב,
אך כשנכנסים לבעיה
נותר רק לצפצף.
אה או אה הו..."
כוכבים בדו,צביקה פיק,1980s,"נגה שמי הקוטב קרחוני עיניים.
ניעם-נים וזמר ברבורי זרועות.
חן כמיהה ולעג חרסינת שינים.
אכזרית, חומדת ויפה מאוד.
אצבעות הורד צפעוני בדולח.
כישופי צפון בלהט המגע.
כל כוכבי הלכת לא עייפו בדו לך
על מלכי השלג ונסיכי תוגה.
הימים הפליגו, מפרשים באופק.
התקוות הכזיבו, הזיות עשן
ציפיה נסערת וערגה ליופי
את ליבך הסגירו שבי לכבשן.
ותפגע השמש בספינת הקרח -
וימס הקרח ותקפא האש.
ועודך טובעת לקראתך, על הברך,
צל מוזר כורע ולחשים לוחש:
בואי ותראי נא לי ה'יש' ו'אין'.
בי יבכו ירנו מדוחי הכרך.
במסילות אין חקר נד הלום היין
פרא דם בן זמר מפולד ורך.
בואי ותראי נא תוך סופות היער 
בשבילך נשאתי סוד הניצחון.
רק אותך איוויתי, רק עלי הנער, 
כוכבים בדו לך בשלגי צפון...!"
"חייך, אכלת אותה",יגאל בשן,1980s,"יופי של עולם, אם אתה צוחק
ואני עושה מה שמתחשק
שקט שלפני, אנו במחבוא
לא תרגיש מתי, מאיפה זה יבוא
צחק מכל הלב, לא זה לא כואב
קח את זה בכייף, חייך אכלת אותה.
קח את זה בכייף, צחק מכל הלב
אם תרצה או לא חייך אכלת אותה.
חמישה לייצים רוצים לומר פה ש...
לא קיים אדם שלמותחו קשה
שיקספיר כבר אמר העולם במה
יש פה אנשים ולי יש מצלמה
צחק מכל הלב...
(גבירותי ורבותי , שוב בוקר טוב
הנהלת הרכבת מצטערת להודיעכם
כי הסטרטר של הרכבת נתקע
אנחנו מבקשים מקהל הנוסעים
לרדת למטה ולתת דחיפה קלה לרכבת
כדי לשחרר את הסטרטר-תודה)
אם תשאל אותי - מהו האדם?
כשמותחים אותו הוא נופל וקם
כמה זה נעים, כמה טוב לראות
אנשים טובים שעושים שטויות
צחק מכל הלב...
כמה זה נעים, כמה טוב לראות
אנשים כל כך טובים עושים פה שטויות
קח את זה בכייף, צחק מכל הלב
אם תרצה או לא חייך אכלת אותה."
