Feature Group,Model,Accuracy,Acc Std,Macro F1,F1 Std,N Features
tfidf_bigrams,Linear SVM,0.6549,0.026,0.6513,0.028,5000
tfidf_bigrams,Logistic Regression,0.6449,0.022,0.6429,0.024,5000
tfidf_unigrams,Logistic Regression,0.6433,0.030,0.6385,0.031,5000
tfidf_unigrams,Linear SVM,0.6366,0.036,0.6317,0.037,5000
tfidf_bigrams,Multinomial NB,0.6315,0.035,0.6326,0.034,5000
tfidf_unigrams,Multinomial NB,0.6114,0.021,0.5997,0.024,5000
reduced_non_redundant,Gradient Boosting,0.6046,0.053,0.6022,0.054,124
numeric+tfidf_bigrams,Logistic Regression,0.5997,0.035,0.5978,0.036,5132
all_numeric,Logistic Regression,0.5980,0.037,0.5967,0.038,132
reduced_non_redundant,Logistic Regression,0.5964,0.033,0.5952,0.034,124
numeric+tfidf_bigrams,Linear SVM,0.5963,0.034,0.5945,0.035,5132
all_numeric,Random Forest,0.5897,0.040,0.5871,0.041,132
reduced_non_redundant,Random Forest,0.5896,0.038,0.5870,0.039,124
all_numeric,Gradient Boosting,0.5879,0.045,0.5866,0.046,132
reduced_non_redundant,Linear SVM,0.5795,0.033,0.5766,0.034,124
all_numeric,Linear SVM,0.5712,0.035,0.5695,0.036,132
pronoun_person,Linear SVM,0.5226,0.030,0.5207,0.031,10
pronoun_person,Logistic Regression,0.5159,0.028,0.5151,0.029,10
repetition,Logistic Regression,0.5092,0.028,0.5075,0.029,10
punctuation_formatting,Logistic Regression,0.5059,0.030,0.4713,0.032,8
dicta_pos,Random Forest,0.5059,0.035,0.5033,0.036,13
basic_surface,Logistic Regression,0.5010,0.029,0.4987,0.030,10
repetition,Random Forest,0.4975,0.032,0.4951,0.033,10
basic_surface,Linear SVM,0.4958,0.031,0.4932,0.032,10
basic_surface,Random Forest,0.4907,0.033,0.4881,0.034,10
last_word,Logistic Regression,0.4607,0.028,0.4582,0.029,3
dicta_morphology,Gradient Boosting,0.4598,0.035,0.4571,0.036,12
dicta_lemma_root,Random Forest,0.4372,0.030,0.4348,0.031,3
semantic_lexicon,Gradient Boosting,0.4188,0.032,0.4162,0.033,12
dicta_binyan,Gradient Boosting,0.4172,0.029,0.4149,0.030,7
basic_surface,Majority Class,0.3351,0.001,0.1676,0.001,10
basic_surface,Stratified Random,0.3334,0.020,0.3321,0.021,10
