feature,mean_difference,1980s_mean,2000s_mean,2020s_mean
char_count,316.93637055837564,594.155,651.425,911.0913705583756
dicta_non_punct_token_count,86.56961928934012,170.405,182.835,256.9746192893401
dicta_token_count,86.43855329949238,181.465,194.69,267.9035532994924
lemma_count,77.2517766497462,164.2,173.93,241.4517766497462
word_count,67.291269035533,118.46,130.095,185.751269035533
dicta_content_token_count,35.54677664974619,83.905,88.275,119.4517766497462
singular_count,32.37159898477158,71.735,74.31,104.10659898477158
masculine_count,31.50360406091371,63.07,68.83,94.57360406091371
unique_word_count,23.08256345177665,75.755,83.795,98.83756345177665
english_char_count,18.29687817258883,0.495,6.11,18.79187817258883
pos_pron_count,15.98842639593909,20.24,23.055,36.22842639593909
pos_verb_count,15.807944162436549,25.055,29.35,40.86294416243655
feminine_count,15.435532994923854,36.14,35.6,51.035532994923855
repeated_words_count,15.36984771573604,19.62,21.25,34.98984771573604
second_person_morph_count,15.275583756345178,17.43,21.795,32.70558375634518
unique_lemma_count,14.81411167512691,73.46,78.895,88.2741116751269
first_person_morph_count,14.11030456852792,21.91,25.07,36.02030456852792
root_count,14.084873096446703,24.24,28.425,38.3248730964467
pos_adp_count,13.034086294416241,27.905,28.81,40.93908629441624
line_count,11.758350253807105,28.465,28.985,40.223350253807105
pos_adv_count,10.82002538071066,13.515,16.37,24.33502538071066
dicta_unknown_token_count,9.31784263959391,6.205,8.905,15.52284263959391
pos_noun_count,8.201522842639598,35.595,32.9,41.101522842639596
dicta_x_pos_count,7.745253807106598,5.605,8.175,13.350253807106599
binyan_paal_count,7.588832487309645,16.0,17.6,23.588832487309645
third_person_morph_count,7.01700507614213,26.22,25.45,32.46700507614213
repeated_lines_count,6.612258883248732,4.55,4.205,10.817258883248732
tense_future_count,6.106091370558375,4.3,6.13,10.406091370558375
second_person_count,6.023324873096447,3.865,4.97,9.888324873096447
unique_root_count,5.843172588832488,16.035,18.8,21.878172588832488
first_person_singular_count,5.681700507614214,4.765,6.295,10.446700507614214
unique_lines_count,5.491091370558376,23.915,24.78,29.406091370558375
pos_det_count,5.325685279187818,15.32,14.72,20.04568527918782
pos_sconj_count,4.676598984771575,3.43,5.645,8.106598984771574
most_common_word_count,4.539974619289341,8.32,8.125,12.66497461928934
last_word_unique_count,4.442791878172589,21.41,22.365,25.85279187817259
plural_count,3.867131979695431,15.275,15.595,19.14213197969543
tense_past_count,3.248096446700508,5.625,5.925,8.873096446700508
binyan_hifil_count,3.154670050761421,2.49,3.555,5.644670050761421
verb_participle_count,3.070913705583756,11.99,12.345,15.060913705583756
pos_propn_count,2.7570558375634517,2.65,2.38,5.137055837563452
verb_inf_count,2.535101522842639,2.805,4.295,5.340101522842639
max_words_per_line,2.2490862944162435,6.69,7.275,8.939086294416244
binyan_piel_count,2.2365228426395936,2.865,3.505,5.101522842639594
parenthesis_count,2.1756345177664973,0.2,0.35,2.3756345177664975
punctuation_count,1.9399999999999995,14.51,16.45,15.284263959390863
pos_cconj_count,1.6104822335025375,9.755,9.87,11.365482233502538
third_person_count,1.5149999999999997,4.14,2.625,3.583756345177665
pos_aux_count,1.225,1.775,2.175,3.0
pos_num_count,1.1942893401015227,1.485,1.425,2.6192893401015227
most_repeated_line_count,1.1805837563451775,2.715,2.525,3.7055837563451774
pos_intj_count,1.1677918781725887,0.985,0.685,1.8527918781725887
quote_count,1.1403807106598987,0.885,1.545,2.0253807106598987
pos_adj_count,0.9252284263959396,7.09,7.275,8.01522842639594
comma_count,0.7936802030456853,5.755,6.215,5.4213197969543145
imperative_count,0.7244416243654823,0.905,1.16,1.6294416243654823
binyan_hitpael_count,0.7218274111675127,1.4,1.85,2.1218274111675126
question_mark_count,0.6391624365482234,0.305,0.87,0.9441624365482234
binyan_nifal_count,0.5597208121827411,1.755,1.99,2.314720812182741
avg_words_per_line,0.5472094635606446,4.254517740336179,4.545776357002953,4.8017272038968235
digit_count,0.5442893401015229,0.075,0.1,0.6192893401015228
first_person_plural_count,0.5237817258883248,0.395,0.46,0.9187817258883249
median_words_per_line,0.4703553299492391,4.22,4.5025,4.690355329949239
min_words_per_line,0.3713705583756344,2.19,2.28,1.9086294416243654
exclamation_mark_count,0.2717005076142132,0.175,0.23,0.4467005076142132
chorus_repetition_score,0.18169727961219334,0.24108793473898693,0.21791056729832609,0.3996078469105194
avg_word_length,0.1393939348161224,3.8990624640964042,3.884686122724676,3.759668529280282
repeated_lines_ratio,0.11697398492621452,0.1429999554149568,0.12701818237815346,0.24399216730436799
last_word_repetition_ratio,0.11455336747599562,0.23099624391209794,0.21202949461529338,0.326582862091289
verb_participle_ratio,0.1061948287880809,0.45721469667779,0.41169401002527023,0.3510198678897091
lexical_diversity,0.1035248246017284,0.6590433245422146,0.6604100291805319,0.5568852045788035
repetition_ratio,0.1035248246017284,0.3409566754577854,0.33958997081946796,0.44311479542119636
direct_address_score,0.10299590964015187,0.2944983367734066,0.34706363918595684,0.39749424641355846
binyan_pual_count,0.09918781725888326,0.18,0.225,0.27918781725888325
repeated_words_ratio,0.09791888618836192,0.27409226169196094,0.27260638342540455,0.3705252696137665
root_diversity,0.09348363034166673,0.6957487247242873,0.6941726720441734,0.6022650943826205
binyan_hufal_count,0.0934771573604061,0.145,0.195,0.10152284263959391
lemma_diversity,0.0914033262060372,0.468404929010018,0.4726446739408967,0.3812413477348595
tense_future_ratio,0.06627473384279972,0.15206569363339484,0.19288163705488523,0.21834042747619456
binyan_paal_ratio,0.055609039362625734,0.5982551923818757,0.5668379961016173,0.54264615301925
pos_noun_ratio,0.05047667715906606,0.21283589373197448,0.18323539550155832,0.16235921657290842
avg_last_word_length,0.04694717721444963,4.526828668576282,4.51266688923559,4.479881491361833
binyan_hifil_ratio,0.036275478548978085,0.09030168808291927,0.11025561446990771,0.12657716663189736
tense_past_ratio,0.03227222961300186,0.21101678929623366,0.1787445596832318,0.20147884559964352
third_person_morph_ratio,0.028247783784588143,0.15265679171738122,0.13992961504278978,0.12440900793279308
verb_inf_ratio,0.027614447819369115,0.10028660328549113,0.12790105110486025,0.12375530411089838
second_person_morph_ratio,0.027282371646610196,0.10258173355214643,0.12405320062179656,0.12986410519875663
we_vs_i_ratio,0.02587963713939878,0.19245526695526696,0.21833490409466574,0.19964837932903812
pos_pron_ratio,0.02331713972428201,0.11583568167658026,0.12818199154748255,0.13915282140086227
second_person_ratio,0.02237996544947339,0.03176869091726465,0.0402842179682795,0.05414865636673804
dicta_unknown_token_ratio,0.020040740787060515,0.03508816803025184,0.04129500439454693,0.055128908817312354
pos_adv_ratio,0.018182195287084632,0.08131020419629316,0.08792726186416099,0.09949239948337779
binyan_nifal_ratio,0.018162569357393007,0.06988208429688267,0.059730927720272685,0.05171951493948966
singular_ratio,0.017655104013711176,0.41984419266034256,0.4122405866261285,0.4021890886466314
plural_ratio,0.017344641896470447,0.09328479987647331,0.08401001159895313,0.07594015798000286
first_person_singular_ratio,0.017137809923161926,0.03895628643562336,0.04875381121668155,0.05609409635878529
pos_verb_ratio,0.01655097851447837,0.14780224296214528,0.16435322147662365,0.16091658243097473
dicta_x_pos_ratio,0.01632067493466137,0.031652462730882576,0.038098440510352306,0.047973137665543945
english_char_ratio,0.016112680354282805,0.000658706977592001,0.007355048688926558,0.016771387331874808
feminine_ratio,0.016059233055732564,0.21448373442994723,0.2015028362759187,0.19842450137421466
third_person_ratio,0.015557080901184805,0.03276797642703519,0.021406207327316806,0.017210895525850384
binyan_hitpael_ratio,0.013584701443360596,0.049141494211387464,0.062156380195553744,0.04857167875219315
pos_cconj_ratio,0.013075773216050357,0.05818828312017117,0.05442065990039071,0.045112509904120815
pos_sconj_ratio,0.012051984110391729,0.01986105943601923,0.03138474849770779,0.03191304354641096
pos_adj_ratio,0.010534353402830952,0.042081630394488895,0.04004203628702851,0.03154727699165794
punctuation_ratio,0.010162266678259665,0.02441057550968938,0.023094783600599893,0.014248308831429716
first_person_morph_ratio,0.00937810003525108,0.13102809100027632,0.1404061910355274,0.140187523000473
pos_det_ratio,0.008761134292775655,0.08884561388857032,0.08118475352804694,0.08008447959579466
binyan_piel_ratio,0.008657814861205149,0.1040305188923452,0.10786627207537829,0.11268833375355035
masculine_ratio,0.007746547321192621,0.3709877109136955,0.3743761781581299,0.3666296308369373
pos_propn_ratio,0.005651915489284957,0.014936938808247029,0.009543909158408753,0.01519582464769371
most_common_word_ratio,0.0049516287990657715,0.07153785483209352,0.06658622603302775,0.06726619377977316
binyan_hufal_ratio,0.003687309562392534,0.0058156530021893525,0.005384265366706017,0.0021283434397968183
nature_words_ratio,0.0035637659792195427,0.0067528697159239225,0.00439760402498063,0.0031891037367043798
time_words_ratio,0.0035035414663045945,0.029700258183224717,0.02690352246693766,0.026196716716920122
pos_intj_ratio,0.0030910768077012565,0.0056160395506662355,0.0029439248254147553,0.006035001633116012
party_words_ratio,0.0030360375010725993,0.005294314980824932,0.002258277479752333,0.0025552260649451255
imperative_ratio,0.0024835291133723306,0.033353010646102195,0.035836539759474526,0.03399794606407598
pos_adp_ratio,0.0023625817894049883,0.16141723452123805,0.15975680136885223,0.15905465273183306
family_words_ratio,0.0022666380275228517,0.00808756122386265,0.009121674772616812,0.010354199251385502
first_person_plural_ratio,0.0020905145068985656,0.003151373797206667,0.0033012758282065812,0.005241888304105232
pos_num_ratio,0.0018128522275312458,0.008795076298967402,0.007421110596682363,0.009233962824213609
binyan_pual_ratio,0.0013718631515395848,0.00705465560344412,0.0067603935920398485,0.005682792451904535
love_words_ratio,0.0012460756415369287,0.0043954457841501975,0.005286942992823777,0.004040867351286849
pos_aux_ratio,0.0010552997425445562,0.010821638683755477,0.011505744937289668,0.011876938426300034
religion_words_ratio,0.000996248270637013,0.00162541998163645,0.001072868733154973,0.002069117003791986
place_words_ratio,0.0009197432041222419,0.0030804011208417,0.002334462080200177,0.003254205284322419
modern_slang_words_ratio,0.0007464742593237917,0.001072737932003636,0.0006414152277169235,0.0013878894870407153
sadness_words_ratio,0.0007029519259874493,0.004071925230378946,0.004269489894824374,0.004774877156366395
army_words_ratio,0.0005210488307435123,0.0006421099141728715,0.0008667765507524655,0.00034572772000895333
nostalgia_words_ratio,0.00027744584935153645,0.0039328636773414945,0.003913001760473765,0.003655417827989958
old_israeli_words_ratio,8.946062332162457e-05,0.000131937351038474,0.00017406299218795249,8.460236886632792e-05
tense_present_count,0.0,0.0,0.0,0.0
tense_present_ratio,0.0,0.0,0.0,0.0
