song_name,artist_name,decade,word_count,unique_word_count,char_count,line_count,avg_words_per_line,median_words_per_line,max_words_per_line,min_words_per_line,avg_word_length,lexical_diversity,repetition_ratio,punctuation_count,punctuation_ratio,question_mark_count,exclamation_mark_count,comma_count,quote_count,parenthesis_count,digit_count,english_char_count,english_char_ratio,repeated_lines_count,repeated_lines_ratio,unique_lines_count,most_repeated_line_count,chorus_repetition_score,repeated_words_count,repeated_words_ratio,most_common_word_count,most_common_word_ratio,first_person_singular_count,first_person_singular_ratio,first_person_plural_count,first_person_plural_ratio,second_person_count,second_person_ratio,third_person_count,third_person_ratio,we_vs_i_ratio,direct_address_score,love_words_ratio,army_words_ratio,nature_words_ratio,religion_words_ratio,party_words_ratio,sadness_words_ratio,nostalgia_words_ratio,family_words_ratio,place_words_ratio,time_words_ratio,modern_slang_words_ratio,old_israeli_words_ratio,last_word_unique_count,last_word_repetition_ratio,avg_last_word_length
אני שומע שוב (שיר חייל),שלמה ארצי,1980s,101,82,559,18,5.611111111111111,5.5,7,4,4.297029702970297,0.8118811881188119,0.18811881188118812,25,0.044722719141323794,0,0,8,4,0,0,0,0.0,1,0.05555555555555555,17,2,0.1111111111111111,11,0.13414634146341464,5,0.04950495049504951,9,0.0891089108910891,0,0.0,1,0.009900990099009901,3,0.0297029702970297,0.0,0.07692307692307693,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.009900990099009901,0.0,0.009900990099009901,0.019801980198019802,0.0297029702970297,0.0,0.0,0.0,0.0,17,0.05555555555555555,4.944444444444445
דרך הכורכר,אריק סיני,1980s,113,90,572,25,4.52,5,6,3,3.938053097345133,0.7964601769911505,0.20353982300884957,15,0.026223776223776224,0,0,1,2,0,0,0,0.0,1,0.04,24,2,0.08,12,0.13333333333333333,4,0.035398230088495575,4,0.035398230088495575,0,0.0,1,0.008849557522123894,3,0.02654867256637168,0.0,0.125,0.0,0.0,0.008849557522123894,0.0,0.0,0.008849557522123894,0.008849557522123894,0.0,0.0,0.017699115044247787,0.0,0.0,21,0.16,4.84
אני הולך לבית שאן,גרי אקשטיין,1980s,97,70,455,17,5.705882352941177,6,9,2,3.577319587628866,0.7216494845360825,0.27835051546391754,13,0.02857142857142857,0,0,9,1,0,0,0,0.0,1,0.058823529411764705,16,2,0.11764705882352941,10,0.14285714285714285,7,0.07216494845360824,13,0.13402061855670103,0,0.0,1,0.010309278350515464,0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030927835051546393,0.0,0.0,12,0.29411764705882354,3.823529411764706
צוותא,שלמה ארצי,1980s,212,144,1073,50,4.24,4.0,9,2,3.7877358490566038,0.6792452830188679,0.32075471698113206,63,0.05871388630009319,2,0,33,8,0,0,0,0.0,2,0.04,48,3,0.06,36,0.25,7,0.0330188679245283,1,0.0047169811320754715,2,0.009433962264150943,12,0.05660377358490566,4,0.018867924528301886,2.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0047169811320754715,0.0047169811320754715,0.04716981132075472,0.0,0.0,43,0.14,4.5
אל תשכחי אותנו,מיסטר הרי,1980s,144,83,670,37,3.891891891891892,4,6,2,3.638888888888889,0.5763888888888888,0.4236111111111111,3,0.004477611940298508,0,0,0,0,0,0,0,0.0,8,0.21621621621621623,29,2,0.43243243243243246,39,0.46987951807228917,10,0.06944444444444445,6,0.041666666666666664,4,0.027777777777777776,5,0.034722222222222224,2,0.013888888888888888,0.6666666666666666,0.29411764705882354,0.006944444444444444,0.0,0.0,0.0,0.0,0.020833333333333332,0.013888888888888888,0.020833333333333332,0.0,0.05555555555555555,0.0,0.0,25,0.32432432432432434,4.243243243243243
שיר אהבה לחייל,עפרה חזה,1980s,135,81,611,25,5.4,6,8,2,3.348148148148148,0.6,0.4,24,0.03927986906710311,1,1,7,0,0,0,0,0.0,0,0.0,25,1,0.0,31,0.38271604938271603,6,0.044444444444444446,11,0.08148148148148149,0,0.0,7,0.05185185185185185,0,0.0,0.0,0.3888888888888889,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.007407407407407408,0.022222222222222223,0.0,0.02962962962962963,0.0,0.0,21,0.16,4.24
אלה סינדרלה,צביקה פיק,1980s,100,59,523,23,4.3478260869565215,4,6,2,4.02,0.59,0.41,21,0.040152963671128104,0,0,16,0,0,0,0,0.0,1,0.043478260869565216,22,2,0.08695652173913043,16,0.2711864406779661,9,0.09,0,0.0,0,0.0,3,0.03,12,0.12,0.0,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,14,0.391304347826087,4.695652173913044
אה-או,גזוז,1980s,89,68,452,27,3.2962962962962963,3,5,2,3.865168539325843,0.7640449438202247,0.23595505617977527,20,0.04424778761061947,0,0,2,0,0,0,0,0.0,1,0.037037037037037035,26,2,0.07407407407407407,9,0.1323529411764706,7,0.07865168539325842,0,0.0,3,0.033707865168539325,0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,0.011235955056179775,26,0.037037037037037035,4.851851851851852
כוכבים בדו,צביקה פיק,1980s,118,109,645,24,4.916666666666667,5.0,7,4,4.203389830508475,0.923728813559322,0.07627118644067797,32,0.04961240310077519,0,1,7,4,0,0,0,0.0,0,0.0,24,1,0.0,9,0.08256880733944955,2,0.01694915254237288,3,0.025423728813559324,0,0.0,4,0.03389830508474576,0,0.0,0.0,0.5714285714285714,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,24,0.0,4.333333333333333
"חייך, אכלת אותה",יגאל בשן,1980s,152,94,739,28,5.428571428571429,5.5,7,3,3.6842105263157894,0.618421052631579,0.3815789473684211,27,0.036535859269282815,1,0,10,0,2,0,0,0.0,4,0.14285714285714285,24,2,0.2857142857142857,26,0.2765957446808511,7,0.046052631578947366,1,0.006578947368421052,1,0.006578947368421052,5,0.03289473684210526,5,0.03289473684210526,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.013157894736842105,0.0,0.0,21,0.25,4.285714285714286
