song_name,artist_name,decade,word_count,unique_word_count,char_count,line_count,avg_words_per_line,median_words_per_line,max_words_per_line,min_words_per_line,avg_word_length,lexical_diversity,repetition_ratio,punctuation_count,punctuation_ratio,question_mark_count,exclamation_mark_count,comma_count,quote_count,parenthesis_count,digit_count,english_char_count,english_char_ratio,repeated_lines_count,repeated_lines_ratio,unique_lines_count,most_repeated_line_count,chorus_repetition_score,repeated_words_count,repeated_words_ratio,most_common_word_count,most_common_word_ratio,first_person_singular_count,first_person_singular_ratio,first_person_plural_count,first_person_plural_ratio,second_person_count,second_person_ratio,third_person_count,third_person_ratio,we_vs_i_ratio,direct_address_score,love_words_ratio,army_words_ratio,nature_words_ratio,religion_words_ratio,party_words_ratio,sadness_words_ratio,nostalgia_words_ratio,family_words_ratio,place_words_ratio,time_words_ratio,modern_slang_words_ratio,old_israeli_words_ratio,last_word_unique_count,last_word_repetition_ratio,avg_last_word_length,dicta_token_count,dicta_non_punct_token_count,dicta_content_token_count,lemma_count,unique_lemma_count,lemma_diversity,root_count,unique_root_count,root_diversity,dicta_unknown_token_count,dicta_unknown_token_ratio,dicta_x_pos_count,dicta_x_pos_ratio,pos_noun_count,pos_noun_ratio,pos_verb_count,pos_verb_ratio,pos_adj_count,pos_adj_ratio,pos_adv_count,pos_adv_ratio,pos_pron_count,pos_pron_ratio,pos_propn_count,pos_propn_ratio,pos_adp_count,pos_adp_ratio,pos_det_count,pos_det_ratio,pos_cconj_count,pos_cconj_ratio,pos_sconj_count,pos_sconj_ratio,pos_aux_count,pos_aux_ratio,pos_num_count,pos_num_ratio,pos_intj_count,pos_intj_ratio,tense_past_count,tense_past_ratio,tense_present_count,tense_present_ratio,tense_future_count,tense_future_ratio,verb_inf_count,verb_inf_ratio,verb_participle_count,verb_participle_ratio,imperative_count,imperative_ratio,masculine_count,masculine_ratio,feminine_count,feminine_ratio,singular_count,singular_ratio,plural_count,plural_ratio,first_person_morph_count,first_person_morph_ratio,second_person_morph_count,second_person_morph_ratio,third_person_morph_count,third_person_morph_ratio,binyan_paal_count,binyan_paal_ratio,binyan_piel_count,binyan_piel_ratio,binyan_hifil_count,binyan_hifil_ratio,binyan_hitpael_count,binyan_hitpael_ratio,binyan_nifal_count,binyan_nifal_ratio,binyan_pual_count,binyan_pual_ratio,binyan_hufal_count,binyan_hufal_ratio
אני שומע שוב (שיר חייל),שלמה ארצי,1980s,101,82,559,18,5.611111111111111,5.5,7,4,4.297029702970297,0.8118811881188119,0.1881188118811881,25,0.0447227191413237,0,0,8,4,0,0,0,0.0,1,0.0555555555555555,17,2,0.1111111111111111,11,0.1341463414634146,5,0.0495049504950495,9,0.0891089108910891,0,0.0,1,0.0099009900990099,3,0.0297029702970297,0.0,0.0769230769230769,0.0198019801980198,0.0198019801980198,0.0099009900990099,0.0099009900990099,0.0,0.0099009900990099,0.0198019801980198,0.0297029702970297,0.0,0.0,0.0,0.0,17,0.0555555555555555,4.944444444444445,161,145,76,134,79,0.5895522388059702,15,12,0.8,11,0.07586206896551724,11,0.07586206896551724,41,0.2827586206896552,15,0.10344827586206896,9,0.06206896551724138,6,0.041379310344827586,12,0.08275862068965517,5,0.034482758620689655,23,0.15862068965517243,11,0.07586206896551724,9,0.06206896551724138,2,0.013793103448275862,1,0.006896551724137931,0,0.0,0,0.0,1,0.0625,0,0.0,2,0.125,1,0.0625,12,0.75,0,0.0,50,0.3448275862068966,41,0.2827586206896552,54,0.3724137931034483,25,0.1724137931034483,22,0.15172413793103448,13,0.0896551724137931,13,0.0896551724137931,11,0.6875,1,0.0625,3,0.1875,0,0.0,0,0.0,0,0.0,0,0.0
דרך הכורכר,אריק סיני,1980s,113,90,572,25,4.52,5.0,6,3,3.938053097345133,0.7964601769911505,0.2035398230088495,15,0.0262237762237762,0,0,1,2,0,0,0,0.0,1,0.04,24,2,0.08,12,0.1333333333333333,4,0.0353982300884955,4,0.0353982300884955,0,0.0,1,0.0088495575221238,3,0.0265486725663716,0.0,0.125,0.0,0.0,0.0088495575221238,0.0,0.0,0.0088495575221238,0.0088495575221238,0.0,0.0,0.0176991150442477,0.0,0.0,21,0.16,4.84,171,161,82,160,90,0.5625,17,17,1.0,1,0.006211180124223602,1,0.006211180124223602,53,0.32919254658385094,17,0.10559006211180125,5,0.031055900621118012,7,0.043478260869565216,14,0.08695652173913043,0,0.0,26,0.16149068322981366,19,0.11801242236024845,13,0.08074534161490683,5,0.031055900621118012,0,0.0,1,0.006211180124223602,0,0.0,3,0.17647058823529413,0,0.0,0,0.0,0,0.0,14,0.8235294117647058,0,0.0,76,0.4720496894409938,24,0.14906832298136646,66,0.40993788819875776,21,0.13043478260869565,22,0.13664596273291926,14,0.08695652173913043,20,0.12422360248447205,12,0.7058823529411765,1,0.058823529411764705,2,0.11764705882352941,1,0.058823529411764705,1,0.058823529411764705,0,0.0,0,0.0
אני הולך לבית שאן,גרי אקשטיין,1980s,97,70,455,17,5.705882352941177,6.0,9,2,3.577319587628866,0.7216494845360825,0.2783505154639175,13,0.0285714285714285,0,0,9,1,0,0,0,0.0,1,0.0588235294117647,16,2,0.1176470588235294,10,0.1428571428571428,7,0.0721649484536082,13,0.134020618556701,0,0.0,1,0.0103092783505154,0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309278350515463,0.0,0.0,12,0.2941176470588235,3.823529411764706,146,136,65,126,70,0.5555555555555556,16,10,0.625,10,0.07352941176470588,9,0.0661764705882353,24,0.17647058823529413,19,0.13970588235294118,4,0.029411764705882353,15,0.11029411764705882,15,0.11029411764705882,3,0.022058823529411766,16,0.11764705882352941,11,0.08088235294117647,12,0.08823529411764706,2,0.014705882352941176,0,0.0,3,0.022058823529411766,3,0.022058823529411766,4,0.21052631578947367,0,0.0,1,0.05263157894736842,2,0.10526315789473684,9,0.47368421052631576,0,0.0,50,0.36764705882352944,26,0.19117647058823528,56,0.4117647058823529,5,0.03676470588235294,24,0.17647058823529413,9,0.0661764705882353,14,0.10294117647058823,9,0.47368421052631576,4,0.21052631578947367,2,0.10526315789473684,0,0.0,1,0.05263157894736842,0,0.0,0,0.0
צוותא,שלמה ארצי,1980s,212,144,1073,50,4.24,4.0,9,2,3.787735849056604,0.6792452830188679,0.320754716981132,63,0.0587138863000931,2,0,33,8,0,0,0,0.0,2,0.04,48,3,0.06,36,0.25,7,0.0330188679245283,1,0.0047169811320754,2,0.0094339622641509,12,0.0566037735849056,4,0.0188679245283018,2.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0094339622641509,0.0,0.0047169811320754,0.0047169811320754,0.0471698113207547,0.0,0.0,43,0.14,4.5,362,303,144,285,128,0.44912280701754387,44,32,0.7272727272727273,18,0.0594059405940594,17,0.056105610561056105,51,0.16831683168316833,45,0.1485148514851485,13,0.0429042904290429,33,0.10891089108910891,34,0.11221122112211221,2,0.006600660066006601,40,0.132013201320132,22,0.07260726072607261,28,0.0924092409240924,12,0.039603960396039604,4,0.013201320132013201,2,0.006600660066006601,0,0.0,4,0.08163265306122448,0,0.0,19,0.3877551020408163,2,0.04081632653061224,20,0.40816326530612246,2,0.04081632653061224,103,0.33993399339933994,51,0.16831683168316833,115,0.3795379537953795,27,0.0891089108910891,31,0.10231023102310231,43,0.1419141914191419,40,0.132013201320132,29,0.5918367346938775,4,0.08163265306122448,6,0.12244897959183673,0,0.0,4,0.08163265306122448,2,0.04081632653061224,0,0.0
אל תשכחי אותנו,מיסטר הרי,1980s,144,83,670,37,3.891891891891892,4.0,6,2,3.638888888888889,0.5763888888888888,0.4236111111111111,3,0.0044776119402985,0,0,0,0,0,0,0,0.0,8,0.2162162162162162,29,2,0.4324324324324324,39,0.4698795180722891,10,0.0694444444444444,6,0.0416666666666666,4,0.0277777777777777,5,0.0347222222222222,2,0.0138888888888888,0.6666666666666666,0.2941176470588235,0.0069444444444444,0.0,0.0,0.0,0.0,0.0208333333333333,0.0138888888888888,0.0208333333333333,0.0,0.0555555555555555,0.0,0.0,25,0.3243243243243243,4.243243243243243,176,175,95,175,77,0.44,38,25,0.6578947368421053,0,0.0,0,0.0,14,0.08,38,0.21714285714285714,9,0.05142857142857143,34,0.19428571428571428,21,0.12,0,0.0,22,0.12571428571428572,7,0.04,11,0.06285714285714286,4,0.022857142857142857,13,0.07428571428571429,1,0.005714285714285714,1,0.005714285714285714,5,0.09803921568627451,0,0.0,27,0.5294117647058824,13,0.2549019607843137,2,0.0392156862745098,1,0.0196078431372549,56,0.32,42,0.24,65,0.37142857142857144,12,0.06857142857142857,20,0.11428571428571428,23,0.13142857142857142,14,0.08,24,0.47058823529411764,6,0.11764705882352941,4,0.0784313725490196,4,0.0784313725490196,0,0.0,1,0.0196078431372549,2,0.0392156862745098
שיר אהבה לחייל,עפרה חזה,1980s,135,81,611,25,5.4,6.0,8,2,3.348148148148148,0.6,0.4,24,0.0392798690671031,1,1,7,0,0,0,0,0.0,0,0.0,25,1,0.0,31,0.382716049382716,6,0.0444444444444444,11,0.0814814814814814,0,0.0,7,0.0518518518518518,0,0.0,0.0,0.3888888888888889,0.0074074074074074,0.0074074074074074,0.0,0.0,0.0,0.0,0.0074074074074074,0.0222222222222222,0.0,0.0296296296296296,0.0,0.0,21,0.16,4.24,192,178,88,170,77,0.45294117647058824,41,22,0.5365853658536586,8,0.0449438202247191,8,0.0449438202247191,14,0.07865168539325842,41,0.2303370786516854,7,0.03932584269662921,26,0.14606741573033707,28,0.15730337078651685,0,0.0,23,0.12921348314606743,7,0.03932584269662921,18,0.10112359550561797,1,0.0056179775280898875,1,0.0056179775280898875,1,0.0056179775280898875,3,0.016853932584269662,2,0.047619047619047616,0,0.0,13,0.30952380952380953,8,0.19047619047619047,11,0.2619047619047619,8,0.19047619047619047,71,0.398876404494382,26,0.14606741573033707,78,0.43820224719101125,2,0.011235955056179775,27,0.15168539325842698,37,0.20786516853932585,17,0.09550561797752809,29,0.6904761904761905,6,0.14285714285714285,3,0.07142857142857142,3,0.07142857142857142,0,0.0,0,0.0,0,0.0
אלה סינדרלה,צביקה פיק,1980s,100,59,523,23,4.3478260869565215,4.0,6,2,4.02,0.59,0.41,21,0.0401529636711281,0,0,16,0,0,0,0,0.0,1,0.0434782608695652,22,2,0.0869565217391304,16,0.2711864406779661,9,0.09,0,0.0,0,0.0,3,0.03,12,0.12,0.0,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,14,0.391304347826087,4.695652173913044,173,155,62,138,59,0.427536231884058,17,14,0.8235294117647058,17,0.10967741935483871,17,0.10967741935483871,22,0.14193548387096774,18,0.11612903225806452,5,0.03225806451612903,8,0.05161290322580645,28,0.18064516129032257,9,0.05806451612903226,21,0.13548387096774195,6,0.03870967741935484,6,0.03870967741935484,7,0.04516129032258064,0,0.0,8,0.05161290322580645,0,0.0,1,0.05555555555555555,0,0.0,2,0.1111111111111111,0,0.0,13,0.7222222222222222,1,0.05555555555555555,43,0.27741935483870966,40,0.25806451612903225,47,0.3032258064516129,24,0.15483870967741936,15,0.0967741935483871,17,0.10967741935483871,38,0.24516129032258063,8,0.4444444444444444,4,0.2222222222222222,2,0.1111111111111111,1,0.05555555555555555,2,0.1111111111111111,0,0.0,0,0.0
אה-או,גזוז,1980s,89,68,452,27,3.2962962962962963,3.0,5,2,3.865168539325843,0.7640449438202247,0.2359550561797752,20,0.0442477876106194,0,0,2,0,0,0,0,0.0,1,0.037037037037037,26,2,0.074074074074074,9,0.1323529411764706,7,0.0786516853932584,0,0.0,3,0.0337078651685393,0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224719101123595,0.0,0.0112359550561797,26,0.037037037037037,4.851851851851852,124,110,53,110,69,0.6272727272727273,16,15,0.9375,0,0.0,0,0.0,25,0.22727272727272727,17,0.15454545454545454,2,0.01818181818181818,9,0.08181818181818182,6,0.05454545454545454,0,0.0,15,0.13636363636363635,8,0.07272727272727272,15,0.13636363636363635,2,0.01818181818181818,1,0.00909090909090909,3,0.02727272727272727,7,0.06363636363636363,11,0.6111111111111112,0,0.0,0,0.0,3,0.16666666666666666,3,0.16666666666666666,0,0.0,41,0.37272727272727274,20,0.18181818181818182,30,0.2727272727272727,22,0.2,14,0.12727272727272726,3,0.02727272727272727,8,0.07272727272727272,9,0.5,1,0.05555555555555555,1,0.05555555555555555,1,0.05555555555555555,3,0.16666666666666666,0,0.0,2,0.1111111111111111
כוכבים בדו,צביקה פיק,1980s,118,109,645,24,4.916666666666667,5.0,7,4,4.203389830508475,0.923728813559322,0.0762711864406779,32,0.0496124031007751,0,1,7,4,0,0,0,0.0,0,0.0,24,1,0.0,9,0.0825688073394495,2,0.0169491525423728,3,0.0254237288135593,0,0.0,4,0.0338983050847457,0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0084745762711864,0.0,0.0,0.0,0.0,0.0084745762711864,0.0,0.0,0.0,0.0,24,0.0,4.333333333333333,215,187,103,178,108,0.6067415730337079,23,21,0.9130434782608695,9,0.0481283422459893,8,0.0427807486631016,64,0.3422459893048128,26,0.13903743315508021,5,0.026737967914438502,8,0.0427807486631016,13,0.06951871657754011,0,0.0,26,0.13903743315508021,20,0.10695187165775401,13,0.06951871657754011,0,0.0,2,0.0106951871657754,0,0.0,2,0.0106951871657754,7,0.25,0,0.0,7,0.25,0,0.0,7,0.25,3,0.10714285714285714,77,0.4117647058823529,40,0.21390374331550802,81,0.43315508021390375,25,0.13368983957219252,14,0.0748663101604278,21,0.11229946524064172,16,0.0855614973262032,16,0.5714285714285714,1,0.03571428571428571,4,0.14285714285714285,0,0.0,0,0.0,1,0.03571428571428571,2,0.07142857142857142
"חייך, אכלת אותה",יגאל בשן,1980s,152,94,739,28,5.428571428571429,5.5,7,3,3.684210526315789,0.618421052631579,0.3815789473684211,27,0.0365358592692828,1,0,10,0,2,0,0,0.0,4,0.1428571428571428,24,2,0.2857142857142857,26,0.2765957446808511,7,0.0460526315789473,1,0.006578947368421,1,0.006578947368421,5,0.0328947368421052,5,0.0328947368421052,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,0.0131578947368421,0.0,0.0,21,0.25,4.285714285714286,231,212,103,199,82,0.4120603015075377,43,24,0.5581395348837209,13,0.06132075471698113,12,0.05660377358490566,29,0.13679245283018868,45,0.21226415094339623,10,0.04716981132075472,17,0.08018867924528301,25,0.1179245283018868,2,0.009433962264150943,29,0.13679245283018868,20,0.09433962264150944,11,0.05188679245283019,7,0.0330188679245283,1,0.0047169811320754715,2,0.009433962264150943,2,0.009433962264150943,13,0.2826086956521739,0,0.0,5,0.10869565217391304,8,0.17391304347826086,12,0.2608695652173913,3,0.06521739130434782,82,0.3867924528301887,20,0.09433962264150944,77,0.3632075471698113,19,0.08962264150943396,17,0.08018867924528301,23,0.10849056603773585,36,0.16981132075471697,30,0.6521739130434783,8,0.17391304347826086,2,0.043478260869565216,2,0.043478260869565216,1,0.021739130434782608,0,0.0,0,0.0
